w1,w2,true_val,pred_val
1,2,53.45950788438267,50.33427476694273
1,4,25.219388808522407,21.798145270457397
2,3,20.337676047786477,19.964264725380882
2,5,34.06502026298059,27.364497127276127
3,6,16.896594664942786,16.965351626545853
4,5,24.18006740503627,21.596438825726203
4,7,17.70544892378458,17.07779772879104
5,6,21.411494797700353,21.31990022555189
5,8,33.73368867838029,34.303395949128216
6,9,16.69469457456723,17.050790021221594
7,8,21.009738440988926,20.29172332682853
8,9,21.779831657754464,20.26222553752982
